date,price_eur_mwh,rate_eur,rate_usd,price_no_vat,price_with_vat
2020-01-02,12.074999809265137,26.422,23.6862,4968.921715452307,5962.706058542768
2020-01-03,12.984999656677246,26.422,23.6862,5225.591585914152,6270.709903096983
2020-01-06,12.279999732971191,26.422,23.6862,5026.742938183229,6032.091525819875
2020-01-07,11.93000030517578,26.422,23.6862,4928.023902076309,5913.6286824915705
2020-01-08,11.96500015258789,26.3932,23.6785,4932.630374891243,5919.156449869492
2020-01-09,12.18000030517578,26.4909,23.8345,5012.130539400769,6014.556647280922
2020-01-10,11.9399995803833,26.7998,24.119,5001.956160552755,6002.347392663306
2020-01-13,12.05500030517578,26.5874,23.9677,4995.210213090142,5994.25225570817
2020-01-14,11.30500030517578,26.6205,23.9275,4787.846700910473,5745.416041092568
2020-01-15,11.18000030517578,26.6889,24.0257,4764.772757545803,5717.727309054963
2020-01-16,11.114999771118164,26.7269,23.9821,4752.509565560303,5703.011478672363
2020-01-17,10.93000030517578,26.9003,24.0923,4729.925644209492,5675.910773051391
2020-01-21,10.774999618530272,26.9565,24.3257,4696.385526040528,5635.662631248633
2020-01-22,10.454999923706056,26.9695,24.2586,4606.014014722518,5527.216817667022
2020-01-23,10.43000030517578,26.9843,24.331,4601.721585983143,5522.065903179771
2020-01-24,10.454999923706056,27.1989,24.5212,4645.555340510687,5574.666408612824
2020-01-27,10.524999618530272,26.8495,24.3301,4606.740714976253,5528.088857971504
2020-01-28,10.789999961853027,27.121,24.5984,4730.189463205815,5676.227355846978
2020-01-29,10.149999618530272,27.2085,24.7204,4559.836943326836,5471.8043319922035
2020-01-30,9.779999732971191,27.3253,24.8491,4471.628935308343,5365.954722370011
2020-01-31,9.755000114440918,27.4751,24.9196,4488.386450402643,5386.063740483171
2020-02-03,9.210000038146973,27.6587,25.0294,4357.098820488146,5228.518584585775
2020-02-04,9.364999771118164,27.7512,25.0836,4417.397783095116,5300.877339714139
2020-02-05,9.3149995803833,27.4556,24.8523,4355.921649715158,5227.105979658189
2020-02-06,9.149999618530272,27.3152,24.7959,4285.990537517334,5143.1886450208
2020-02-07,9.06999969482422,27.0435,24.5794,4220.457820773999,5064.549384928799
2020-02-10,8.645000457763672,26.9048,24.537,4077.288381273728,4892.746057528473
2020-02-11,8.555000305175781,26.8518,24.5188,4043.6530350514913,4852.383642061789
2020-02-12,8.720000267028809,26.6205,24.4236,4056.4584053826015,4867.750086459122
2020-02-13,8.890000343322754,26.7246,24.4966,4120.674517894868,4944.809421473841
2020-02-14,8.880000114440918,26.5872,24.4795,4097.352843030434,4916.823411636521
2020-02-18,9.380000114440918,26.4954,24.4456,4224.951386468286,5069.941663761942
2020-02-19,9.56999969482422,26.4291,24.4431,4268.362477875561,5122.0349734506735
2020-02-20,9.5649995803833,26.4862,24.5231,4276.3459786324975,5131.615174358997
2020-02-21,9.40999984741211,26.4249,24.4777,4222.798802282122,5067.358562738546
2020-02-24,9.045000076293944,26.4129,24.453,4117.879005849166,4941.4548070189985
2020-02-25,9.005000114440918,26.5109,24.4995,4121.552080424722,4945.862496509666
2020-02-26,9.06999969482422,26.6035,24.5307,4154.05679545741,4984.868154548892
2020-02-27,8.869999885559082,26.8021,24.649,4127.426870482032,4952.912244578439
2020-02-28,8.875,26.9299,24.561,4147.2188221875,4976.662586625001
2020-03-02,8.885000228881836,26.9789,24.59,4157.543673805413,4989.052408566496
2020-03-03,9.170000076293944,27.6075,24.818,4336.1797531095945,5203.4157037315135
2020-03-04,8.90999984741211,27.6856,24.9386,4271.930251203598,5126.316301444318
2020-03-05,8.850000381469727,27.7047,24.8908,4256.713263943784,5108.055916732541
2020-03-06,8.645000457763672,27.6942,24.7413,4193.590930906231,5032.309117087477
2020-03-09,8.625,27.6942,24.7413,4187.678083875,5025.21370065
2020-03-10,8.994999885559082,28.2336,24.9215,4378.810495858231,5254.5725950298765
2020-03-11,9.369999885559082,28.7916,25.3135,4579.959565676546,5495.951478811855
2020-03-12,9.324999809265137,29.0499,25.624,4607.631352664154,5529.157623196985
2020-03-13,9.28499984741211,29.054,25.858,4597.362160924645,5516.834593109574
2020-03-16,8.739999771118164,28.9901,26.089,4420.4476241180955,5304.537148941715
2020-03-17,8.470000267028809,29.5249,26.5249,4416.603803436688,5299.924564124026
2020-03-18,8.265000343322754,29.7271,27.0566,4384.055372961442,5260.866447553731
2020-03-19,8.545000076293945,29.7936,27.2685,4483.892301115037,5380.670761338045
2020-03-20,8.295000076293945,30.0934,27.8025,4450.3751190342045,5340.450142841045
2020-03-23,7.849999904632568,29.6359,27.7386,4244.250823954251,5093.100988745101
2020-03-24,7.909999847412109,30.2463,28.1126,4349.7676520075365,5219.721182409044
2020-03-25,7.744999885559082,30.1057,27.7728,4275.170994108667,5130.205192930401
2020-03-26,7.574999809265137,30.2671,27.9552,4243.379619560819,5092.055543472983
2020-03-27,7.21999979019165,30.8633,28.1381,4207.63221117534,5049.158653410407
2020-03-30,6.894999980926514,30.9027,28.183,4105.848607345418,4927.018328814501
2020-03-31,6.900000095367432,30.9617,28.0615,4114.209015520476,4937.050818624571
2020-04-01,6.824999809265137,30.2564,27.6289,3997.597518395106,4797.117022074127
2020-04-02,6.934999942779541,30.3238,27.7538,4042.519229252362,4851.023075102834
2020-04-03,6.920000076293945,30.0812,27.5962,4005.776880199269,4806.932256239123
2020-04-06,7.284999847412109,29.5601,27.373,4053.20595358777,4863.847144305325
2020-04-07,7.284999847412109,29.3827,27.2365,4029.0605303017337,4834.87263636208
2020-04-08,7.260000228881836,29.567,27.0996,4044.456149741454,4853.347379689744
2020-04-09,7.28000020980835,29.5762,27.1965,4052.599964291938,4863.119957150325
2020-04-13,7.28000020980835,29.5606,27.2022,4050.591755106999,4860.710106128398
2020-04-14,6.875,29.5376,27.0404,3918.8305060000007,4702.596607200001
2020-04-15,6.650000095367432,29.7081,27.0899,3869.408331369252,4643.289997643103
2020-04-16,6.90500020980835,29.6351,27.2219,3941.8519903363567,4730.2223884036275
2020-04-17,6.994999885559082,29.6341,27.2022,3970.068649209801,4764.082379051762
2020-04-20,6.619999885559082,29.6341,27.2022,3851.439642647301,4621.727571176761
2020-04-21,6.315000057220459,29.4277,27.0774,3729.218933687775,4475.062720425331
2020-04-22,6.224999904632568,29.3577,27.0815,3692.584797049972,4431.101756459966
2020-04-23,6.054999828338623,29.4181,27.0536,3646.255794554267,4375.50695346512
2020-04-24,5.769999980926514,29.1383,27.0137,3524.3289597421667,4229.1947516906
2020-04-27,5.940000057220459,29.3306,27.1441,3600.5067788659635,4320.608134639156
2020-04-28,6.144999980926514,29.4184,27.1025,3674.870501160135,4409.844601392162
2020-04-29,6.014999866485596,29.4274,27.0485,3634.75491173312,4361.705894079743
2020-04-30,6.21999979019165,29.2424,26.9714,3676.497489405676,4411.796987286812
2020-05-01,5.84499979019165,29.2424,26.9714,3559.4365069056757,4271.323808286811
2020-05-04,5.739999771118164,29.2939,26.9592,3532.485154475816,4238.982185370979
2020-05-05,5.675000190734863,29.5078,26.9749,3536.6353937056742,4243.9624724468085
2020-05-06,5.764999866485596,29.2691,26.9774,3537.5705032962396,4245.084603955487
2020-05-07,5.84499979019165,29.1017,26.9323,3542.8953227083025,4251.474387249963
2020-05-08,5.829999923706055,28.9117,26.8185,3515.535212628217,4218.64225515386
2020-05-11,5.704999923706055,28.9117,26.8185,3476.956162940717,4172.34739552886
2020-05-12,5.315000057220459,29.0966,26.8196,3376.9564913480294,4052.347789617635
2020-05-13,5.119999885559082,29.0843,26.7947,3314.898779518967,3977.87853542276
2020-05-14,5.264999866485596,29.0291,26.6897,3353.1913681383035,4023.829641765964
2020-05-15,5.21999979019165,28.7869,26.6792,3312.7550831758613,3975.306099811033
2020-05-18,4.920000076293945,28.7677,26.638,3218.2660776295043,3861.919293155405
2020-05-19,4.610000133514404,28.791,26.571,3125.0245377848414,3750.0294453418096
2020-05-20,4.460000038146973,29.0217,26.5159,3101.8647419181857,3722.2376903018226
2020-05-21,3.825000047683716,29.1403,26.5854,2916.7589078956025,3500.110689474723
2020-05-22,3.890000104904175,29.4616,26.7699,2968.660748942634,3562.392898731161
2020-05-26,4.125,29.3157,26.8742,3029.0297901875,3634.835748225
2020-05-27,3.694999933242798,29.5084,26.9029,2912.534809371337,3495.041771245604
2020-05-28,3.509999990463257,29.7151,27.0002,2873.6647606498623,3448.397712779835
2020-05-29,4.385000228881836,29.6234,26.9059,3141.4270182042565,3769.712421845108
2020-06-01,4.054999828338623,29.9275,26.8685,3066.224687345799,3679.4696248149585
2020-06-02,4.849999904632568,29.8043,26.8181,3306.928649532812,3968.314379439374
2020-06-03,5.329999923706055,29.9185,26.7955,3472.0932102582415,4166.51185230989
2020-06-04,5.389999866485596,29.9609,26.7544,3495.69351522274,4194.832218267288
2020-06-05,5.710000038146973,29.9975,26.6953,3601.84311234055,4322.2117348086595
2020-06-08,5.25,29.9975,26.6953,3454.5403763749996,4145.44845165
2020-06-09,4.804999828338623,30.1477,26.6005,3327.150439992286,3992.580527990743
2020-06-10,4.800000190734863,30.0872,26.6412,3319.474832260388,3983.369798712465
2020-06-11,4.989999771118164,30.2859,26.6367,3401.660037927049,4081.9920455124584
2020-06-12,5.275000095367432,30.1723,26.5999,3481.10346865433,4177.324162385195
2020-06-15,5.514999866485596,30.2119,26.7303,3563.691239427498,4276.4294873129975
2020-06-16,5.260000228881836,30.2062,26.844,3481.560141903219,4177.872170283863
2020-06-17,5.210000038146973,30.239,26.7424,3468.356876563894,4162.028251876673
2020-06-18,5.449999809265137,30.0681,26.776,3526.9813891535023,4232.377666984203
2020-06-19,5.614999771118164,30.0579,26.7633,3578.704815546624,4294.445778655949
2020-06-22,5.494999885559082,29.9953,26.7207,3532.912469718538,4239.494963662245
2020-06-23,5.829999923706055,29.8952,26.6695,3628.2764702022178,4353.93176424266
2020-06-24,5.664999961853027,30.1227,26.6078,3601.122324195966,4321.346789035159
2020-06-25,5.255000114440918,30.0675,26.6509,3463.518087419666,4156.221704903599
2020-06-26,5.105000019073486,29.9122,26.7002,3398.938233765407,4078.725880518488
2020-06-29,5.840000152587891,29.9122,26.7002,3633.6331366232566,4360.359763947908
2020-06-30,6.164999961853027,29.95,26.6922,3741.863339553793,4490.236007464551
2020-07-01,5.864999771118164,29.8677,26.6676,3636.2441993613425,4363.493039233611
2020-07-02,5.945000171661377,29.9971,26.77,3677.530900131742,4413.03708015809
2020-07-06,6.09499979019165,30.5069,27.1716,3788.5352231360703,4546.242267763284
2020-07-07,6.125,30.7226,27.1269,3823.633096625,4588.3597159500005
2020-07-08,5.934999942779541,30.409,26.9309,3723.448393800319,4468.138072560383
2020-07-09,5.755000114440918,30.4295,26.9514,3667.503429611906,4401.004115534287
2020-07-10,5.474999904632568,30.5359,26.9335,3588.3318006005093,4305.998160720611
2020-07-13,5.110000133514404,30.3988,26.9505,3454.6658354763845,4145.599002571661
2020-07-14,5.085000038146973,30.687,27.0883,3478.4691348713277,4174.162961845593
2020-07-15,5.224999904632568,30.8745,27.1436,3545.153612255798,4254.184334706958
2020-07-16,5.059999942779541,31.0309,27.119,3507.409194995445,4208.891033994534
2020-07-17,5.114999771118164,31.129,27.2738,3537.219607067091,4244.663528480509
2020-07-20,4.730000019073486,31.2554,27.3606,3422.972351213896,4107.566821456675
2020-07-21,4.789999961853027,31.5908,27.6011,3479.5953089856284,4175.514370782754
2020-07-22,4.829999923706055,31.6719,27.6647,3502.0051954302057,4202.4062345162465
2020-07-23,4.985000133514404,32.1898,27.7798,3610.355963654036,4332.427156384843
2020-07-24,5.010000228881836,32.2366,27.8779,3624.580535564124,4349.496642676948
2020-07-27,4.784999847412109,32.2246,27.7559,3545.1114571851317,4254.133748622158
2020-07-28,4.960000038146973,32.6049,27.7571,3645.753483727333,4374.9041804727995
2020-07-29,5.175000190734863,32.4539,27.6851,3703.7199407667126,4444.463928920055
2020-07-30,5.224999904632568,32.4696,27.6867,3722.7661191944103,4467.319343033292
2020-07-31,6.025000095367432,32.547,27.6913,4009.195602009386,4811.034722411263
2020-08-03,6.800000190734863,32.7812,27.6798,4307.887834245626,5169.4654010947515
2020-08-04,7.355000019073486,32.5169,27.7365,4467.61152003325,5361.133824039899
2020-08-05,7.320000171661377,32.7234,27.8225,4483.175415615146,5379.810498738176
2020-08-06,7.940000057220459,32.9012,27.7028,4723.543148496989,5668.251778196386
2020-08-07,7.929999828338623,32.7972,27.6793,4705.524345449616,5646.629214539539
2020-08-10,7.590000152587891,32.6848,27.6486,4571.182566339478,5485.4190796073735
