"","date","hour","actual","projected"
"1",2023-01-01,1,245.162,162.991
"2",2023-01-01,2,223.858,155.46
"3",2023-01-01,3,208.565,150.157
"4",2023-01-01,4,203.357,146.581
"5",2023-01-01,5,91.75,139.71
"6",2023-01-01,6,76.528,144.324
"7",2023-01-01,7,10.906,149.015
"8",2023-01-01,8,1.724,146.863
"9",2023-01-01,9,3.69,143.361
"10",2023-01-01,10,14.6,134.382
"11",2023-01-01,11,22.418,118.977
"12",2023-01-01,12,15.219,103.13
"13",2023-01-01,13,6.865,93.161
"14",2023-01-01,14,6.23,90.372
"15",2023-01-01,15,15.179,96.532
"16",2023-01-01,16,60.778,113.938
"17",2023-01-01,17,78.501,133.385
"18",2023-01-01,18,169.445,149.025
"19",2023-01-01,19,234.288,163.288
"20",2023-01-01,20,259.428,171.789
"21",2023-01-01,21,236.264,170.378
"22",2023-01-01,22,247.057,166.459
"23",2023-01-01,23,258.462,161.121
"24",2023-01-01,24,243.105,159.793
"25",2023-01-02,1,246.798,168.98
"26",2023-01-02,2,150.612,180.139
"27",2023-01-02,3,70.773,175.498
"28",2023-01-02,4,68.101,165.605
"29",2023-01-02,5,63.937,145.222
"30",2023-01-02,6,53.533,139.347
"31",2023-01-02,7,134.182,129.33
"32",2023-01-02,8,166.546,131.068
"33",2023-01-02,9,154.245,118.941
"34",2023-01-02,10,127.917,101.914
"35",2023-01-02,11,65.731,88.347
"36",2023-01-02,12,51.451,81.447
"37",2023-01-02,13,47.824,72.21
"38",2023-01-02,14,53.739,72.677
"39",2023-01-02,15,78.093,77.194
"40",2023-01-02,16,110.29,92.12
"41",2023-01-02,17,171.625,112.337
"42",2023-01-02,18,187.336,131.521
"43",2023-01-02,19,208.688,145.895
"44",2023-01-02,20,241.313,157.477
"45",2023-01-02,21,227.118,165.637
"46",2023-01-02,22,233.621,168.126
"47",2023-01-02,23,243.333,180.804
"48",2023-01-02,24,248.082,201.011
"49",2023-01-03,1,271.355,202.192
"50",2023-01-03,2,277.238,220.229
"51",2023-01-03,3,278.295,248.173
"52",2023-01-03,4,295.167,254.769
"53",2023-01-03,5,301.438,251.095
"54",2023-01-03,6,308.016,252.044
"55",2023-01-03,7,302.458,243.592
"56",2023-01-03,8,286.33,228.589
"57",2023-01-03,9,250.828,208.356
"58",2023-01-03,10,211.555,177.648
"59",2023-01-03,11,142.119,130.401
"60",2023-01-03,12,96.07,97.437
"61",2023-01-03,13,54.542,72.73
"62",2023-01-03,14,34.455,58.313
"63",2023-01-03,15,39.107,53.557
"64",2023-01-03,16,46.737,60.703
"65",2023-01-03,17,106.159,83.415
