"","date","hour","actual","projected"
"1",2023-01-01,1,-10.405,-10.296
"2",2023-01-01,2,-10.111,-10.331
"3",2023-01-01,3,-10.673,-10.284
"4",2023-01-01,4,-10.614,-10.621
"5",2023-01-01,5,-10.351,-10.245
"6",2023-01-01,6,-11,-9.098
"7",2023-01-01,7,-10.703,-8.74
"8",2023-01-01,8,-10.242,0.595
"9",2023-01-01,9,16.027,160.881
"10",2023-01-01,10,111.676,708.214
"11",2023-01-01,11,248.401,1199.143
"12",2023-01-01,12,346.826,1510.421
"13",2023-01-01,13,332.034,1508.805
"14",2023-01-01,14,321.545,1291.358
"15",2023-01-01,15,208.086,839.494
"16",2023-01-01,16,127.025,261.602
"17",2023-01-01,17,-0.557,5.698
"18",2023-01-01,18,-10.156,-8.708
"19",2023-01-01,19,-9.959,-8.767
"20",2023-01-01,20,-10.074,-8.903
"21",2023-01-01,21,-10.16,-10.387
"22",2023-01-01,22,-10.215,-10.338
"23",2023-01-01,23,-10.283,-10.478
"24",2023-01-01,24,-10.366,-10.218
"25",2023-01-02,1,-10.269,-10.481
"26",2023-01-02,2,-10.422,-10.561
"27",2023-01-02,3,-10.419,-10.47
"28",2023-01-02,4,-10.303,-10.734
"29",2023-01-02,5,-10.871,-10.575
"30",2023-01-02,6,-10.136,-9.187
"31",2023-01-02,7,-10.05,-9.039
"32",2023-01-02,8,-0.391,5.985
"33",2023-01-02,9,225.242,260.187
"34",2023-01-02,10,805.576,945.019
"35",2023-01-02,11,1041.27,1547.02
"36",2023-01-02,12,990.789,1963.056
"37",2023-01-02,13,927.508,1961.751
"38",2023-01-02,14,743.797,1624.103
"39",2023-01-02,15,569.36,1023.145
"40",2023-01-02,16,292.293,317.57
"41",2023-01-02,17,6.168,6.17
"42",2023-01-02,18,-10.153,-8.623
"43",2023-01-02,19,-10.191,-8.708
"44",2023-01-02,20,-10.214,-8.964
"45",2023-01-02,21,-10.322,-10.229
"46",2023-01-02,22,-10.492,-10.316
"47",2023-01-02,23,-10.532,-10.223
"48",2023-01-02,24,-10.295,-10.201
"49",2023-01-03,1,-10.518,-10.331
"50",2023-01-03,2,-10.598,-10.382
"51",2023-01-03,3,-10.633,-10.38
"52",2023-01-03,4,-10.934,-10.646
"53",2023-01-03,5,-10.492,-10.378
"54",2023-01-03,6,-10.802,-9.172
"55",2023-01-03,7,-10.456,-8.938
"56",2023-01-03,8,0.699,7.9
"57",2023-01-03,9,224.24,270.178
"58",2023-01-03,10,744.167,945.286
"59",2023-01-03,11,1362.684,1491.259
"60",2023-01-03,12,1666.892,1842.673
"61",2023-01-03,13,1634.684,1789.577
"62",2023-01-03,14,1272.49,1409.344
"63",2023-01-03,15,725.187,851.351
"64",2023-01-03,16,238.223,249.702
"65",2023-01-03,17,0.119,2.167
"66",2023-01-03,18,-10.517,-8.738
"67",2023-01-03,19,-10.132,-8.842
"68",2023-01-03,20,-10.571,-8.899
"69",2023-01-03,21,-9.681,-10.364
"70",2023-01-03,22,-10.277,-10.404
"71",2023-01-03,23,-10.065,-10.307
"72",2023-01-03,24,-10.066,-10.204
"73",2023-01-04,1,-10.054,-10.364
"74",2023-01-04,2,-10.626,-10.341
"75",2023-01-04,3,-10.361,-10.435
"76",2023-01-04,4,-10.622,-10.413
"77",2023-01-04,5,-10.378,-10.48
"78",2023-01-04,6,-10.351,-9.031
"79",2023-01-04,7,-10.474,-8.836
"80",2023-01-04,8,-4.55,0.668
"81",2023-01-04,9,147.49,143.634
"82",2023-01-04,10,628.216,619.459
"83",2023-01-04,11,1307.68,1023.784
"84",2023-01-04,12,1948.493,1322.495
"85",2023-01-04,13,1949.314,1434.013
"86",2023-01-04,14,1496.716,1328.362
"87",2023-01-04,15,874.278,917.695
"88",2023-01-04,16,309.78,346.65
"89",2023-01-04,17,12.376,14.893
"90",2023-01-04,18,-10.738,-8.709
"91",2023-01-04,19,-9.94,-8.684
"92",2023-01-04,20,-10.351,-8.769
"93",2023-01-04,21,-10.703,-10.234
"94",2023-01-04,22,-10.192,-10.209
"95",2023-01-04,23,-10.754,-10.272
"96",2023-01-04,24,-10.465,-10.254
"97",2023-01-05,1,-10.576,-10.366
"98",2023-01-05,2,-11.029,-10.407
"99",2023-01-05,3,-10.991,-10.405
"100",2023-01-05,4,-10.7,-10.543
"101",2023-01-05,5,-10.635,-10.299
"102",2023-01-05,6,-10.909,-9.268
"103",2023-01-05,7,-10.837,-9.088
"104",2023-01-05,8,-8.279,-2.563
"105",2023-01-05,9,40.798,68.112
"106",2023-01-05,10,142.239,188.05
"107",2023-01-05,11,216.711,303.473
"108",2023-01-05,12,294.403,349.144
"109",2023-01-05,13,315.583,361.639
"110",2023-01-05,14,284.792,313.154
"111",2023-01-05,15,162.276,203.248
"112",2023-01-05,16,61.25,73.888
"113",2023-01-05,17,-3.286,-0.191
"114",2023-01-05,18,-9.789,-8.838
"115",2023-01-05,19,-10.272,-8.904
"116",2023-01-05,20,-10.337,-9.165
"117",2023-01-05,21,-10.366,-10.146
"118",2023-01-05,22,-10.272,-10.304
"119",2023-01-05,23,-10.286,-10.326
"120",2023-01-05,24,-10.683,-10.254
"121",2023-01-06,1,-9.938,-10.272
"122",2023-01-06,2,-10.465,-10.452
"123",2023-01-06,3,-10.157,-10.298
"124",2023-01-06,4,-10.589,-10.606
"125",2023-01-06,5,-10.404,-10.315
"126",2023-01-06,6,-10.252,-9.164
"127",2023-01-06,7,-10.206,-9.169
"128",2023-01-06,8,-5.359,-2.938
"129",2023-01-06,9,86.465,75.083
"130",2023-01-06,10,201.447,292.838
"131",2023-01-06,11,313.901,488.3
"132",2023-01-06,12,373.267,585.32
"133",2023-01-06,13,399.131,551.789
"134",2023-01-06,14,319.963,458.807
"135",2023-01-06,15,184.473,292.059
"136",2023-01-06,16,63.271,97.709
"137",2023-01-06,17,-3.566,1.596
"138",2023-01-06,18,-10.174,-8.885
"139",2023-01-06,19,-9.839,-8.958
"140",2023-01-06,20,-10.678,-9.193
"141",2023-01-06,21,-10.436,-10.292
"142",2023-01-06,22,-10.289,-10.41
"143",2023-01-06,23,-10.818,-10.278
"144",2023-01-06,24,-10.396,-10.329
"145",2023-01-07,1,-10.509,-10.176
"146",2023-01-07,2,-11.215,-10.236
"147",2023-01-07,3,-10.712,-10.319
"148",2023-01-07,4,-10.889,-10.252
"149",2023-01-07,5,-10.577,-10.263
"150",2023-01-07,6,-11.1,-9.08
