country,hour,tech,gen_mw
HU,2022-01-03T02:00:00Z,Wind onshore,119.79
HU,2022-01-03T03:00:00Z,Solar,0
HU,2022-01-03T03:00:00Z,Wind onshore,87.7375
HU,2022-01-03T04:00:00Z,Solar,0
HU,2022-01-03T04:00:00Z,Wind onshore,116.7375
HU,2022-01-03T05:00:00Z,Solar,0
HU,2022-01-03T05:00:00Z,Wind onshore,112.155
HU,2022-01-03T06:00:00Z,Solar,4.1575
HU,2022-01-03T06:00:00Z,Wind onshore,156.45
HU,2022-01-03T07:00:00Z,Solar,62.522499999999994
HU,2022-01-03T07:00:00Z,Wind onshore,208.51
HU,2022-01-03T08:00:00Z,Solar,107.32
HU,2022-01-03T08:00:00Z,Wind onshore,212.685
HU,2022-01-03T09:00:00Z,Solar,140.605
HU,2022-01-03T09:00:00Z,Wind onshore,165.77
HU,2022-01-03T10:00:00Z,Solar,230.01
HU,2022-01-03T10:00:00Z,Wind onshore,230.0975
HU,2022-01-03T11:00:00Z,Solar,284.39
HU,2022-01-03T11:00:00Z,Wind onshore,207.8525
HU,2022-01-03T12:00:00Z,Solar,321.7525
HU,2022-01-03T12:00:00Z,Wind onshore,229.8375
HU,2022-01-03T13:00:00Z,Solar,230.54
HU,2022-01-03T13:00:00Z,Wind onshore,203.5975
HU,2022-01-03T14:00:00Z,Solar,55.4375
HU,2022-01-03T14:00:00Z,Wind onshore,190.7
HU,2022-01-03T15:00:00Z,Solar,0.2425
HU,2022-01-03T15:00:00Z,Wind onshore,149.345
HU,2022-01-03T16:00:00Z,Solar,0
HU,2022-01-03T16:00:00Z,Wind onshore,125.2025
HU,2022-01-03T17:00:00Z,Solar,0
HU,2022-01-03T17:00:00Z,Wind onshore,89.61500000000001
HU,2022-01-03T18:00:00Z,Solar,0
HU,2022-01-03T18:00:00Z,Wind onshore,84.32
HU,2022-01-03T19:00:00Z,Solar,0
HU,2022-01-03T19:00:00Z,Wind onshore,42.325
HU,2022-01-03T20:00:00Z,Solar,0
HU,2022-01-03T20:00:00Z,Wind onshore,45.635
HU,2022-01-03T21:00:00Z,Solar,0
HU,2022-01-03T21:00:00Z,Wind onshore,73.8125
HU,2022-01-03T22:00:00Z,Solar,0
HU,2022-01-03T22:00:00Z,Wind onshore,44.5775
HU,2022-01-03T23:00:00Z,Solar,0
HU,2022-01-03T23:00:00Z,Wind onshore,50.5425
HU,2022-01-04T00:00:00Z,Solar,0
HU,2022-01-04T00:00:00Z,Wind onshore,60.8425
HU,2022-01-04T01:00:00Z,Solar,0
HU,2022-01-04T01:00:00Z,Wind onshore,70.10249999999999
HU,2022-01-04T02:00:00Z,Solar,0
HU,2022-01-04T02:00:00Z,Wind onshore,87.2325
HU,2022-01-04T03:00:00Z,Solar,0
HU,2022-01-04T03:00:00Z,Wind onshore,80.4
HU,2022-01-04T04:00:00Z,Solar,0
HU,2022-01-04T04:00:00Z,Wind onshore,69.5975
HU,2022-01-04T05:00:00Z,Solar,0
HU,2022-01-04T05:00:00Z,Wind onshore,65.9325
HU,2022-01-04T06:00:00Z,Solar,11.45
HU,2022-01-04T06:00:00Z,Wind onshore,47.305
HU,2022-01-04T07:00:00Z,Solar,143.76250000000002
HU,2022-01-04T07:00:00Z,Wind onshore,32.6825
HU,2022-01-04T08:00:00Z,Solar,306.815
HU,2022-01-04T08:00:00Z,Wind onshore,65.1125
HU,2022-01-04T09:00:00Z,Solar,388.595
HU,2022-01-04T09:00:00Z,Wind onshore,76.2975
HU,2022-01-04T10:00:00Z,Solar,399.5775
HU,2022-01-04T10:00:00Z,Wind onshore,98.41
HU,2022-01-04T11:00:00Z,Solar,299.3175
HU,2022-01-04T11:00:00Z,Wind onshore,128.66
HU,2022-01-04T12:00:00Z,Solar,198.8175
HU,2022-01-04T12:00:00Z,Wind onshore,182.53
HU,2022-01-04T13:00:00Z,Solar,102.39
HU,2022-01-04T13:00:00Z,Wind onshore,235.9175
HU,2022-01-04T14:00:00Z,Solar,31.15
HU,2022-01-04T14:00:00Z,Wind onshore,252.415
HU,2022-01-04T15:00:00Z,Solar,0.475
HU,2022-01-04T15:00:00Z,Wind onshore,278.52
HU,2022-01-04T16:00:00Z,Solar,0
HU,2022-01-04T16:00:00Z,Wind onshore,284.9025
HU,2022-01-04T17:00:00Z,Solar,0
HU,2022-01-04T17:00:00Z,Wind onshore,278.565
HU,2022-01-04T18:00:00Z,Solar,0
HU,2022-01-04T18:00:00Z,Wind onshore,257.715
HU,2022-01-04T19:00:00Z,Solar,0
HU,2022-01-04T19:00:00Z,Wind onshore,252.2525
HU,2022-01-04T20:00:00Z,Solar,0
HU,2022-01-04T20:00:00Z,Wind onshore,204.285
HU,2022-01-04T21:00:00Z,Solar,0
HU,2022-01-04T21:00:00Z,Wind onshore,209.89
HU,2022-01-04T22:00:00Z,Solar,0
HU,2022-01-04T22:00:00Z,Wind onshore,218.8775
HU,2022-01-04T23:00:00Z,Solar,0
HU,2022-01-04T23:00:00Z,Wind onshore,204.9825
HU,2022-01-05T00:00:00Z,Solar,0
HU,2022-01-05T00:00:00Z,Wind onshore,195.1325
HU,2022-01-05T01:00:00Z,Solar,0
HU,2022-01-05T01:00:00Z,Wind onshore,178.43
HU,2022-01-05T02:00:00Z,Solar,0
HU,2022-01-05T02:00:00Z,Wind onshore,160.5225
HU,2022-01-05T03:00:00Z,Solar,0
HU,2022-01-05T03:00:00Z,Wind onshore,159.4775
HU,2022-01-05T04:00:00Z,Solar,0
HU,2022-01-05T04:00:00Z,Wind onshore,109.2125
HU,2022-01-05T05:00:00Z,Solar,0
HU,2022-01-05T05:00:00Z,Wind onshore,89.755
HU,2022-01-05T06:00:00Z,Solar,4.4125
HU,2022-01-05T06:00:00Z,Wind onshore,108.2475
HU,2022-01-05T07:00:00Z,Solar,45.005
HU,2022-01-05T07:00:00Z,Wind onshore,94.525
HU,2022-01-05T08:00:00Z,Solar,123.1125
HU,2022-01-05T08:00:00Z,Wind onshore,50.24
HU,2022-01-05T09:00:00Z,Solar,189.41
HU,2022-01-05T09:00:00Z,Wind onshore,42.120000000000005
HU,2022-01-05T10:00:00Z,Solar,198.28
HU,2022-01-05T10:00:00Z,Wind onshore,65.5
HU,2022-01-05T11:00:00Z,Solar,192.1175
HU,2022-01-05T11:00:00Z,Wind onshore,62.0275
HU,2022-01-05T12:00:00Z,Solar,163.86
HU,2022-01-05T12:00:00Z,Wind onshore,37.3075
HU,2022-01-05T13:00:00Z,Solar,60.17
HU,2022-01-05T13:00:00Z,Wind onshore,50.58
HU,2022-01-05T14:00:00Z,Solar,8.0275
HU,2022-01-05T14:00:00Z,Wind onshore,61.1875
HU,2022-01-05T15:00:00Z,Solar,0.0125
HU,2022-01-05T15:00:00Z,Wind onshore,66.3975
HU,2022-01-05T16:00:00Z,Solar,0
HU,2022-01-05T16:00:00Z,Wind onshore,126.7125
HU,2022-01-05T17:00:00Z,Solar,0
HU,2022-01-05T17:00:00Z,Wind onshore,158.585
HU,2022-01-05T18:00:00Z,Solar,0
HU,2022-01-05T18:00:00Z,Wind onshore,214.3375
HU,2022-01-05T19:00:00Z,Solar,0
HU,2022-01-05T19:00:00Z,Wind onshore,219.3325
HU,2022-01-05T20:00:00Z,Solar,0
HU,2022-01-05T20:00:00Z,Wind onshore,229.765
HU,2022-01-05T21:00:00Z,Solar,0
HU,2022-01-05T21:00:00Z,Wind onshore,183.13
HU,2022-01-05T22:00:00Z,Solar,0
HU,2022-01-05T22:00:00Z,Wind onshore,147.8075
HU,2022-01-05T23:00:00Z,Solar,0
HU,2022-01-05T23:00:00Z,Wind onshore,164.3325
HU,2022-01-06T00:00:00Z,Solar,0
HU,2022-01-06T00:00:00Z,Wind onshore,141.11
HU,2022-01-06T01:00:00Z,Solar,0
HU,2022-01-06T01:00:00Z,Wind onshore,107.1
HU,2022-01-06T02:00:00Z,Solar,0
HU,2022-01-06T02:00:00Z,Wind onshore,100.36
