"","date","hour","actual","projected"
"1","2024-01-01",1,-10.786,-9.158
"2","2024-01-01",2,-10.079,-9.218
"3","2024-01-01",3,-10.574,-9.241
"4","2024-01-01",4,-10.206,-9.269
"5","2024-01-01",5,-10.51,-9.095
"6","2024-01-01",6,-10.894,-9.308
"7","2024-01-01",7,-10.157,-9.099
"8","2024-01-01",8,-0.915,6.72
"9","2024-01-01",9,188.792,263.122
"10","2024-01-01",10,549.821,731.36
"11","2024-01-01",11,840.964,1103.826
"12","2024-01-01",12,776.266,1226.578
"13","2024-01-01",13,745.601,1090.381
"14","2024-01-01",14,474.749,797.29
"15","2024-01-01",15,306.403,421.322
"16","2024-01-01",16,95.132,108.112
"17","2024-01-01",17,-3.265,-3.351
"18","2024-01-01",18,-9.651,-8.716
"19","2024-01-01",19,-9.781,-8.802
"20","2024-01-01",20,-10.292,-8.832
"21","2024-01-01",21,-9.765,-8.91
"22","2024-01-01",22,-10.12,-8.916
"23","2024-01-01",23,-9.994,-8.966
"24","2024-01-01",24,-9.956,-8.908
"25","2024-01-02",1,-10.393,-9.16
"26","2024-01-02",2,-10.545,-9.252
"27","2024-01-02",3,-10.172,-9.173
"28","2024-01-02",4,-10.479,-9.171
"29","2024-01-02",5,-10.338,-9.297
"30","2024-01-02",6,-10.208,-9.368
"31","2024-01-02",7,-10.562,-8.961
"32","2024-01-02",8,-7.765,-1.853
"33","2024-01-02",9,59.527,131.371
"34","2024-01-02",10,288.14,454.511
"35","2024-01-02",11,595.009,735.838
"36","2024-01-02",12,663.936,871.878
"37","2024-01-02",13,704.192,856.194
"38","2024-01-02",14,587.637,674.493
"39","2024-01-02",15,385.15,412.648
"40","2024-01-02",16,150.173,139.593
"41","2024-01-02",17,0.966,0.973
"42","2024-01-02",18,-10.383,-8.864
"43","2024-01-02",19,-10.046,-9.081
"44","2024-01-02",20,-10.197,-9.13
"45","2024-01-02",21,-11.3,-9.228
"46","2024-01-02",22,-10.566,-9.167
"47","2024-01-02",23,-11.11,-9.191
"48","2024-01-02",24,-10.727,-9.263
