"","date","hour","actual","projected"
"1",2022-01-01,1,458.688,460.411
"2",2022-01-01,2,534.446,498.085
"3",2022-01-01,3,624.227,539.868
"4",2022-01-01,4,651.049,578.841
"5",2022-01-01,5,516.064,608.715
"6",2022-01-01,6,473.13,636.19
"7",2022-01-01,7,354.969,655.596
"8",2022-01-01,8,219.654,662.207
"9",2022-01-01,9,60.817,667.952
"10",2022-01-01,10,89.383,664.127
"11",2022-01-01,11,278.637,646.386
"12",2022-01-01,12,438.314,643.175
"13",2022-01-01,13,631.933,635.381
"14",2022-01-01,14,630.89,633.61
"15",2022-01-01,15,606.506,593.092
"16",2022-01-01,16,588.814,589.581
"17",2022-01-01,17,593.534,576.612
"18",2022-01-01,18,615.895,565.643
"19",2022-01-01,19,615.052,560.978
"20",2022-01-01,20,592.427,544.211
"21",2022-01-01,21,547.437,557.463
"22",2022-01-01,22,540.459,578.292
"23",2022-01-01,23,591.765,593.83
"24",2022-01-01,24,627.167,609.602
"25",2022-01-02,1,443.905,656.613
"26",2022-01-02,2,132.61,664.146
"27",2022-01-02,3,47.849,670.562
"28",2022-01-02,4,29.865,676.753
"29",2022-01-02,5,30.822,681.328
"30",2022-01-02,6,30.034,681.264
"31",2022-01-02,7,29.354,677.859
"32",2022-01-02,8,28.747,673.308
"33",2022-01-02,9,188.835,658.384
"34",2022-01-02,10,426.757,655.759
"35",2022-01-02,11,462.416,652.071
"36",2022-01-02,12,421.142,642.113
"37",2022-01-02,13,410.525,610.263
"38",2022-01-02,14,367.876,578.079
"39",2022-01-02,15,472.191,510.016
"40",2022-01-02,16,431.734,421.236
"41",2022-01-02,17,326.022,336.719
"42",2022-01-02,18,224.406,270.968
"43",2022-01-02,19,138.827,207.123
"44",2022-01-02,20,89.918,128.846
"45",2022-01-02,21,62.306,99.034
"46",2022-01-02,22,76.731,95.585
"47",2022-01-02,23,115.313,125.44
"48",2022-01-02,24,165.189,164.273
"49",2022-01-03,1,248.062,225.473
"50",2022-01-03,2,312.384,307.431
"51",2022-01-03,3,424.286,389.009
"52",2022-01-03,4,499.42,450.125
"53",2022-01-03,5,556.139,500.094
"54",2022-01-03,6,626.744,564.283
"55",2022-01-03,7,665.939,630.1
"56",2022-01-03,8,663.528,668.707
"57",2022-01-03,9,653.86,672.177
"58",2022-01-03,10,644.475,657.262
"59",2022-01-03,11,616.058,631.133
"60",2022-01-03,12,583.533,603.683
"61",2022-01-03,13,587.73,597.414
"62",2022-01-03,14,631.341,603.453
"63",2022-01-03,15,640.051,610.179
"64",2022-01-03,16,656.377,610.968
"65",2022-01-03,17,678.335,620.514
"66",2022-01-03,18,686.268,629.439
"67",2022-01-03,19,704.373,652.957
"68",2022-01-03,20,696.528,675.713
"69",2022-01-03,21,707.135,684.028
"70",2022-01-03,22,705.251,689.932
"71",2022-01-03,23,703.886,689.373
"72",2022-01-03,24,709.838,700.69
"73",2022-01-04,1,717.89,700.207
"74",2022-01-04,2,671.624,694.783
"75",2022-01-04,3,420.12,698.785
"76",2022-01-04,4,298.251,701.419
"77",2022-01-04,5,356.304,693.296
"78",2022-01-04,6,550.861,670.585
"79",2022-01-04,7,659.074,655.387
"80",2022-01-04,8,666.726,614.698
"81",2022-01-04,9,631.73,570.49
"82",2022-01-04,10,523.95,512.97
"83",2022-01-04,11,375.575,455.059
"84",2022-01-04,12,343.016,385.795
"85",2022-01-04,13,300.543,348.661
"86",2022-01-04,14,269.482,308.407
"87",2022-01-04,15,265.211,296.74
"88",2022-01-04,16,314.025,281.937
"89",2022-01-04,17,399.864,306.7
"90",2022-01-04,18,506.871,320.554
"91",2022-01-04,19,562.529,326.694
"92",2022-01-04,20,477.994,350.745
"93",2022-01-04,21,523.526,414.316
"94",2022-01-04,22,616.618,480.546
"95",2022-01-04,23,612.706,519.647
"96",2022-01-04,24,665.583,573.175
"97",2022-01-05,1,676.601,649.168
"98",2022-01-05,2,719.527,675.334
"99",2022-01-05,3,721.521,702.059
"100",2022-01-05,4,717.375,703.839
"101",2022-01-05,5,686.49,716.376
"102",2022-01-05,6,632.956,713.798
"103",2022-01-05,7,713.017,700.667
"104",2022-01-05,8,684.272,678.034
"105",2022-01-05,9,658.965,658.646
"106",2022-01-05,10,615.566,648.156
"107",2022-01-05,11,572.588,616.345
"108",2022-01-05,12,558.165,563.333
"109",2022-01-05,13,516.154,541.698
"110",2022-01-05,14,470.509,521.93
"111",2022-01-05,15,476.52,522.887
"112",2022-01-05,16,544.22,539.717
"113",2022-01-05,17,548.786,563.582
"114",2022-01-05,18,540.949,588.332
"115",2022-01-05,19,564.974,587.86
"116",2022-01-05,20,619.976,607.275
"117",2022-01-05,21,664.636,622.298
"118",2022-01-05,22,655.625,627.233
"119",2022-01-05,23,685.934,631.475
"120",2022-01-05,24,687.727,640.081
"121",2022-01-06,1,691.143,630.961
"122",2022-01-06,2,682.176,615.081
"123",2022-01-06,3,566.547,596.027
"124",2022-01-06,4,397.456,583.904
"125",2022-01-06,5,312.982,573.751
"126",2022-01-06,6,572.805,559.864
"127",2022-01-06,7,584.036,538.71
"128",2022-01-06,8,586.758,538.842
"129",2022-01-06,9,576.193,527.115
"130",2022-01-06,10,520.725,492.734
"131",2022-01-06,11,474.326,469.816
"132",2022-01-06,12,434.284,456.185
"133",2022-01-06,13,432.602,439.355
"134",2022-01-06,14,425.324,431.531
"135",2022-01-06,15,405.815,408.208
"136",2022-01-06,16,433.883,406.331
"137",2022-01-06,17,469.663,414.626
"138",2022-01-06,18,488.666,441.92
"139",2022-01-06,19,458.359,492.341
"140",2022-01-06,20,438.984,525.279
"141",2022-01-06,21,423.072,529.809
"142",2022-01-06,22,404.978,509.197
"143",2022-01-06,23,381.698,477.208
"144",2022-01-06,24,328.329,428.901
"145",2022-01-07,1,281.482,371.48
"146",2022-01-07,2,326.105,378.045
"147",2022-01-07,3,242.634,371.959
"148",2022-01-07,4,194.699,320.013
"149",2022-01-07,5,269.907,305.65
"150",2022-01-07,6,301.712,294.608
"151",2022-01-07,7,294.459,301.417
"152",2022-01-07,8,303.968,320.929
"153",2022-01-07,9,385.333,348.096
"154",2022-01-07,10,382.009,355.176
"155",2022-01-07,11,223.414,336.326
"156",2022-01-07,12,219.346,341.425
"157",2022-01-07,13,155.957,337.258
"158",2022-01-07,14,74.878,345.509
"159",2022-01-07,15,73,322.587
"160",2022-01-07,16,101.127,292.003
"161",2022-01-07,17,274.529,277.693
"162",2022-01-07,18,305.278,259.276
"163",2022-01-07,19,217.707,233.346
"164",2022-01-07,20,185.826,185.919
"165",2022-01-07,21,173.32,157.786
"166",2022-01-07,22,151.849,133.942
"167",2022-01-07,23,151.702,145.074
"168",2022-01-07,24,195.498,170.142
"169",2022-01-08,1,297.349,192.349
"170",2022-01-08,2,362.409,239.217
"171",2022-01-08,3,409.882,290.651
"172",2022-01-08,4,370.28,341.074
"173",2022-01-08,5,447.198,383.648
"174",2022-01-08,6,509.636,420.871
"175",2022-01-08,7,519.372,439.807
"176",2022-01-08,8,520.218,457.308
"177",2022-01-08,9,519.621,486.715
"178",2022-01-08,10,497.873,467.535
"179",2022-01-08,11,460.405,453.125
"180",2022-01-08,12,469.545,480.36
"181",2022-01-08,13,480.393,501.498
"182",2022-01-08,14,506.681,509.51
"183",2022-01-08,15,529.914,512.962
"184",2022-01-08,16,541.794,525.015
"185",2022-01-08,17,576.418,547.756
"186",2022-01-08,18,609.876,575.683
"187",2022-01-08,19,621.81,599.085
"188",2022-01-08,20,605.847,607.051
"189",2022-01-08,21,575.787,604.577
"190",2022-01-08,22,560.469,589.372
"191",2022-01-08,23,519.696,570.493
"192",2022-01-08,24,506.324,562.712
"193",2022-01-09,1,518.403,564.727
"194",2022-01-09,2,531.349,560.628
"195",2022-01-09,3,551.927,559.72
"196",2022-01-09,4,524.352,551.264
"197",2022-01-09,5,471.772,538.232
"198",2022-01-09,6,439.724,511.902
"199",2022-01-09,7,410.585,488.586
"200",2022-01-09,8,390.241,472.905
"201",2022-01-09,9,369.646,457.871
"202",2022-01-09,10,384.928,442.332
"203",2022-01-09,11,370.063,423.699
"204",2022-01-09,12,351.609,384.181
"205",2022-01-09,13,307.713,320.108
"206",2022-01-09,14,279.804,293.479
"207",2022-01-09,15,275.978,282.197
"208",2022-01-09,16,282.574,275.462
"209",2022-01-09,17,298.838,262.083
"210",2022-01-09,18,265.652,241.467
"211",2022-01-09,19,255.673,218.824
"212",2022-01-09,20,209.869,193.221
"213",2022-01-09,21,181.142,172.432
"214",2022-01-09,22,145.338,149.969
"215",2022-01-09,23,127.075,128.053
"216",2022-01-09,24,113.531,115.52
"217",2022-01-10,1,117.53,93.483
"218",2022-01-10,2,98.941,89.202
"219",2022-01-10,3,87.188,93.272
"220",2022-01-10,4,85.392,106.449
"221",2022-01-10,5,84.216,114.655
"222",2022-01-10,6,86.705,123.093
"223",2022-01-10,7,95.815,154.663
"224",2022-01-10,8,112.121,187.088
"225",2022-01-10,9,154.934,208.91
"226",2022-01-10,10,176.175,210.012
"227",2022-01-10,11,149.483,222.105
"228",2022-01-10,12,159.462,227.432
"229",2022-01-10,13,227.121,266.048
"230",2022-01-10,14,297.328,301.415
"231",2022-01-10,15,306.697,335.558
"232",2022-01-10,16,357.234,365.75
"233",2022-01-10,17,375.534,418.076
"234",2022-01-10,18,438.859,473.672
"235",2022-01-10,19,476.267,523.667
"236",2022-01-10,20,497.166,540.72
"237",2022-01-10,21,546.021,549.36
"238",2022-01-10,22,538.881,562.958
"239",2022-01-10,23,518.457,576.563
"240",2022-01-10,24,524.301,594.903
"241",2022-01-11,1,570.345,567.752
"242",2022-01-11,2,593.626,587.934
"243",2022-01-11,3,612.132,607.136
"244",2022-01-11,4,643.434,615.457
"245",2022-01-11,5,643.726,607.54
"246",2022-01-11,6,653.156,608.228
"247",2022-01-11,7,650.622,604.87
"248",2022-01-11,8,635.257,591.938
"249",2022-01-11,9,617.679,585.396
"250",2022-01-11,10,635.256,584.659
"251",2022-01-11,11,642.526,621.65
"252",2022-01-11,12,637.204,623.248
"253",2022-01-11,13,642.41,630.528
"254",2022-01-11,14,645.077,629.535
"255",2022-01-11,15,655.288,602.123
"256",2022-01-11,16,655.069,608.003
"257",2022-01-11,17,649.908,620.354
"258",2022-01-11,18,634.699,632.199
"259",2022-01-11,19,634.721,633.643
"260",2022-01-11,20,627.815,634.157
"261",2022-01-11,21,624.923,627.627
"262",2022-01-11,22,641.676,625.842
"263",2022-01-11,23,636.785,624.36
"264",2022-01-11,24,632.56,624.035
"265",2022-01-12,1,610.81,636.822
"266",2022-01-12,2,618.411,644.518
"267",2022-01-12,3,618.5,641.605
"268",2022-01-12,4,619.4,639.264
"269",2022-01-12,5,631.813,630.103
"270",2022-01-12,6,643.003,624.521
"271",2022-01-12,7,642.779,613.937
"272",2022-01-12,8,641.572,612.374
"273",2022-01-12,9,621.352,609.136
"274",2022-01-12,10,624.601,602.647
"275",2022-01-12,11,611.729,589.856
"276",2022-01-12,12,613.301,587.082
"277",2022-01-12,13,611.81,585.014
"278",2022-01-12,14,600.672,591.496
"279",2022-01-12,15,570.967,597.54
"280",2022-01-12,16,545.865,594.726
"281",2022-01-12,17,525.922,593.214
"282",2022-01-12,18,504.707,585.608
"283",2022-01-12,19,458.089,580.431
"284",2022-01-12,20,436.915,574.088
"285",2022-01-12,21,446.21,558.133
"286",2022-01-12,22,408.866,532.156
"287",2022-01-12,23,395.301,515.769
"288",2022-01-12,24,411.805,511.16
"289",2022-01-13,1,394.187,515.346
"290",2022-01-13,2,386.126,505.038
"291",2022-01-13,3,358.884,484.193
"292",2022-01-13,4,334.949,462.531
"293",2022-01-13,5,369.394,470.104
"294",2022-01-13,6,366.43,471.476
"295",2022-01-13,7,355.866,451.403
"296",2022-01-13,8,267.562,399.344
"297",2022-01-13,9,292.917,326.357
"298",2022-01-13,10,208.884,269.899
"299",2022-01-13,11,160.335,236.116
"300",2022-01-13,12,172.35,219.071
"301",2022-01-13,13,216.846,228.785
"302",2022-01-13,14,266.704,237.089
"303",2022-01-13,15,298.629,258.581
"304",2022-01-13,16,305.988,272.151
"305",2022-01-13,17,283.803,296.583
"306",2022-01-13,18,328.371,349.356
"307",2022-01-13,19,435.019,437.016
"308",2022-01-13,20,475.496,511.758
"309",2022-01-13,21,507.499,558.613
"310",2022-01-13,22,508.133,591.037
"311",2022-01-13,23,486.479,611.069
"312",2022-01-13,24,466.978,631.921
"313",2022-01-14,1,484.869,649.842
"314",2022-01-14,2,505.968,648.756
"315",2022-01-14,3,515.499,643.761
"316",2022-01-14,4,567.932,640.683
"317",2022-01-14,5,607.302,628.561
"318",2022-01-14,6,646.699,632.964
"319",2022-01-14,7,672.211,638.064
"320",2022-01-14,8,673.731,653.495
"321",2022-01-14,9,682.752,672.867
"322",2022-01-14,10,684.32,684.153
"323",2022-01-14,11,689.524,685.571
"324",2022-01-14,12,686.447,689.642
"325",2022-01-14,13,688.158,682.353
"326",2022-01-14,14,692.097,681.424
"327",2022-01-14,15,697.582,686.207
"328",2022-01-14,16,676.057,688.1
"329",2022-01-14,17,712.558,689.132
"330",2022-01-14,18,714.582,702.299
"331",2022-01-14,19,712.431,699.231
"332",2022-01-14,20,713.443,700.987
"333",2022-01-14,21,699.057,700.525
"334",2022-01-14,22,706.549,700.458
"335",2022-01-14,23,709.335,709.026
"336",2022-01-14,24,706.926,708.991
"337",2022-01-15,1,706.689,710.76
"338",2022-01-15,2,709.853,716.658
"339",2022-01-15,3,711.583,718.334
"340",2022-01-15,4,713.856,714.451
"341",2022-01-15,5,700.961,711.432
"342",2022-01-15,6,696.57,711.7
"343",2022-01-15,7,712.693,709.826
"344",2022-01-15,8,712.839,708.616
"345",2022-01-15,9,712.822,707.171
"346",2022-01-15,10,714.808,704.13
"347",2022-01-15,11,716.02,702.483
"348",2022-01-15,12,715.344,702.167
"349",2022-01-15,13,703.59,701.498
"350",2022-01-15,14,691.466,702.156
"351",2022-01-15,15,708.038,706.398
"352",2022-01-15,16,705.893,702.877
"353",2022-01-15,17,696.7,704.089
"354",2022-01-15,18,700.431,703.625
"355",2022-01-15,19,709.363,699.896
"356",2022-01-15,20,700.018,699.45
"357",2022-01-15,21,699.003,696.389
"358",2022-01-15,22,703.864,697.007
"359",2022-01-15,23,705.279,687.882
"360",2022-01-15,24,702.807,676.605
"361",2022-01-16,1,701.64,676.957
"362",2022-01-16,2,700.575,653.492
"363",2022-01-16,3,699.335,622.251
"364",2022-01-16,4,692.317,601.833
"365",2022-01-16,5,684.077,584.428
"366",2022-01-16,6,659.225,567.975
"367",2022-01-16,7,618.188,535.016
"368",2022-01-16,8,601.275,499.773
"369",2022-01-16,9,549.881,475.005
"370",2022-01-16,10,509.994,462.061
"371",2022-01-16,11,430.957,475.496
"372",2022-01-16,12,446.691,471.904
"373",2022-01-16,13,388.294,433.561
"374",2022-01-16,14,387.118,387.142
"375",2022-01-16,15,410.638,342.211
"376",2022-01-16,16,341.812,295.268
"377",2022-01-16,17,367.609,273.119
"378",2022-01-16,18,395.496,265.942
"379",2022-01-16,19,368.905,266.065
"380",2022-01-16,20,313.644,252.796
"381",2022-01-16,21,255.768,232.609
"382",2022-01-16,22,256.64,223.488
"383",2022-01-16,23,287.361,216.639
"384",2022-01-16,24,313.28,215.683
"385",2022-01-17,1,311.171,269.583
"386",2022-01-17,2,308.664,277.371
"387",2022-01-17,3,351.797,289.241
"388",2022-01-17,4,395.854,321.989
"389",2022-01-17,5,464.201,368.291
"390",2022-01-17,6,558.298,428.128
"391",2022-01-17,7,663.184,500.423
"392",2022-01-17,8,709.643,583.751
"393",2022-01-17,9,708.484,631.264
"394",2022-01-17,10,683.785,645.11
"395",2022-01-17,11,637.423,622.298
"396",2022-01-17,12,591.477,597.805
"397",2022-01-17,13,535.311,561.145
"398",2022-01-17,14,497.19,548.058
"399",2022-01-17,15,504.263,547.822
"400",2022-01-17,16,531.023,574.978
"401",2022-01-17,17,596.957,617.169
"402",2022-01-17,18,645.75,649.603
"403",2022-01-17,19,715.455,664.325
"404",2022-01-17,20,729.263,680.565
"405",2022-01-17,21,719.153,679.923
"406",2022-01-17,22,724.229,681.831
"407",2022-01-17,23,718.839,686.431
"408",2022-01-17,24,697.757,695.16
"409",2022-01-18,1,699.582,698.594
"410",2022-01-18,2,658.412,680.493
"411",2022-01-18,3,691.652,664.42
"412",2022-01-18,4,678.132,666.961
"413",2022-01-18,5,694.357,667.956
"414",2022-01-18,6,709.77,681.016
"415",2022-01-18,7,711.871,680.941
"416",2022-01-18,8,685.52,675.801
"417",2022-01-18,9,672.308,663.342
"418",2022-01-18,10,674.976,664.008
"419",2022-01-18,11,661.573,682.838
"420",2022-01-18,12,675.406,700.711
"421",2022-01-18,13,702.173,704.272
"422",2022-01-18,14,716.887,710.002
"423",2022-01-18,15,719.632,712.964
"424",2022-01-18,16,704.528,704.048
