date,price_eur
2022-01-04,101.12400323486328
2022-01-05,104.91021570260637
2022-01-06,104.01305189157574
2022-01-07,102.19367054344184
2022-01-10,96.26354524778436
2022-01-11,97.9288889934196
2022-01-12,95.9519793788604
2022-01-13,96.87611785531044
2022-01-14,98.44337859749794
2022-01-17,96.12478882231336
2022-01-18,98.34625895131558
2022-01-19,97.95375238794986
2022-01-20,102.20251227513108
2022-01-21,101.42855036050425
2022-01-24,99.90258560597796
2022-01-25,103.88933902437202
2022-01-26,106.0714441122036
2022-01-27,107.63161904957452
2022-01-28,107.4633136474331
2022-01-31,106.80976024533992
2022-02-01,106.38651119431417
2022-02-02,111.73860166176564
2022-02-03,113.59005787535988
2022-02-04,113.34546398791464
2022-02-07,112.73926673609822
2022-02-08,112.64987466862476
2022-02-09,108.4204905601364
2022-02-10,107.5474974739618
2022-02-11,109.59545290394452
2022-02-14,108.409361027635
2022-02-15,107.3350044965191
2022-02-16,106.19014068698198
2022-02-17,102.40268569600356
2022-02-18,106.21977918393168
2022-02-21,106.90256587697696
2022-02-22,106.96910047531128
2022-02-23,113.24862735609533
2022-02-24,103.6381123242354
2022-02-25,104.13641263185129
2022-02-28,97.02853363160466
2022-03-01,83.04403907257074
2022-03-02,80.69376815636406
2022-03-03,79.96822383036488
2022-03-04,77.99201587985044
2022-03-07,70.12171851636958
2022-03-08,81.75860411263602
2022-03-09,86.85169361013504
2022-03-10,89.1506279097839
2022-03-11,90.31518935770872
2022-03-14,92.8285995444512
2022-03-15,90.82092608258608
2022-03-16,92.32664829387431
2022-03-17,94.47709366679192
2022-03-18,92.56228046047364
2022-03-21,92.97537040443513
2022-03-22,95.59849488247436
2022-03-23,91.84418437273688
2022-03-24,93.77324288089584
2022-03-25,93.49785483227788
2022-03-28,95.49457953870296
2022-03-29,95.528152688953
2022-03-30,91.46867170470432
2022-03-31,90.21033273325249
2022-04-04,93.1912772655487
2022-04-05,93.38255782016768
2022-04-06,91.95681223349676
2022-04-07,95.5399884735607
2022-04-11,92.49991632695946
2022-04-12,94.34584448394162
2022-04-13,92.61539249678026
2022-04-14,95.68981220896694
2022-04-19,95.8975292099476
2022-04-20,103.92424558819404
2022-04-21,103.30761967883154
2022-04-25,98.18596920046002
2022-04-26,96.3501124382019
2022-04-27,95.30985192526714
2022-04-28,97.33452801159363
2022-05-03,103.7644502334506
2022-05-04,103.38959337265624
2022-05-05,103.18117708576392
2022-05-09,100.57485449623618
2022-05-10,101.10530802682752
2022-05-11,102.10215556701132
2022-05-12,102.57110452651978
2022-05-16,104.6362748217698
2022-05-17,107.39805038574286
2022-05-18,98.812938979303
2022-05-19,96.6121718084878
2022-05-23,90.7960939039749
2022-05-24,93.93276252341366
2022-05-25,95.01303934194584
2022-05-26,99.1853099653008
2022-05-30,97.1612960964012
2022-05-31,97.91802257379368
2022-06-01,100.12762571064376
2022-06-06,94.61317172098734
2022-06-07,94.33470977797695
2022-06-08,92.88002917734048
2022-06-09,94.44245991851858
2022-06-13,94.1579015506568
2022-06-14,95.80145602933044
2022-06-15,99.8310042321682
2022-06-16,96.3495940963512
2022-06-20,96.71754769696236
2022-06-21,97.29979769600868
2022-06-22,93.71630575948076
2022-06-23,96.5942073301685
2022-06-27,96.99671610192308
2022-06-28,100.23900865013456
2022-06-29,101.35298017518836
2022-06-30,103.07069350626988
2022-07-04,97.1939501528468
2022-07-05,95.94462986290456
2022-07-06,96.83953478527836
2022-07-07,99.53345900654404
2022-07-11,98.92708233266605
2022-07-12,100.3389194905758
2022-07-13,98.25920400023188
2022-07-14,98.23182908165654
2022-07-18,98.8998979227854
2022-07-19,96.8595687588413
2022-07-20,92.12746082246304
2022-07-21,90.59651107283024
2022-07-25,89.05803095338342
2022-07-26,90.32391484992696
2022-07-27,89.71631638545568
2022-07-28,93.0619339284658
2022-08-01,95.07424705649191
2022-08-02,96.8686263803138
2022-08-03,99.26465307606122
2022-08-04,98.8535500146645
2022-08-08,98.73003314572908
2022-08-09,100.20071066113088
2022-08-10,100.77089667320251
2022-08-11,101.77354309448856
2022-08-15,106.45442118989922
2022-08-16,108.51490586277578
2022-08-17,112.46558194734187
2022-08-18,113.08534500414224
2022-08-22,107.5432556000269
2022-08-23,104.78282043405125
2022-08-24,104.22065958673738
2022-08-25,103.95362246372132
2022-08-30,92.5700242417297
2022-08-31,91.51335922110592
2022-09-01,92.41710049530413
2022-09-05,85.04677850934968
