country,tech,date,price_res,price_base,cap_factor
HU,Solar,2022-01-01T00:00:00Z,83.39632357051966,82.87125,1.0063360160552624
HU,Solar,2022-01-02T00:00:00Z,72.95573219041279,90.52916666666667,0.8058809649606052
HU,Solar,2022-01-03T00:00:00Z,129.98865025722392,103.98166666666667,1.2501112400316459
HU,Solar,2022-01-04T00:00:00Z,196.54779218795656,166.02208333333334,1.1838653523780616
HU,Solar,2022-01-05T00:00:00Z,135.85119919850263,133.1125,1.0205743202066118
HU,Solar,2022-01-06T00:00:00Z,220.59026804101097,200.56666666666666,1.0998351406399085
HU,Solar,2022-01-07T00:00:00Z,190.4212166586997,188.27666666666667,1.0113904183136504
HU,Solar,2022-01-08T00:00:00Z,208.50676880452755,179.09958333333333,1.164194605726484
HU,Solar,2022-01-09T00:00:00Z,191.9476144120992,179.63083333333333,1.0685671877717682
HU,Solar,2022-01-10T00:00:00Z,305.13696811819324,262.13375,1.1640506730559999
HU,Solar,2022-01-11T00:00:00Z,265.570849496128,253.84125,1.0462084058289502
HU,Solar,2022-01-12T00:00:00Z,258.4127457335374,233.3175,1.1075583517461718
HU,Solar,2022-01-13T00:00:00Z,227.6978630409915,218.39875,1.0425786001109965
HU,Solar,2022-01-14T00:00:00Z,195.98790172051523,209.91958333333332,0.9336332447330755
HU,Solar,2022-01-15T00:00:00Z,213.02161743982603,215.04833333333335,0.9905755331274024
HU,Solar,2022-01-16T00:00:00Z,200.19636164843683,205.19166666666666,0.9756554196406783
HU,Solar,2022-01-17T00:00:00Z,230.49189386277746,214.03,1.0769139553463414
HU,Solar,2022-01-18T00:00:00Z,262.62481361753333,236.9175,1.1085074492915608
HU,Solar,2022-01-19T00:00:00Z,208.77568981025797,227.02875,0.9196002260077544
HU,Solar,2022-01-20T00:00:00Z,196.053987967889,192.01833333333335,1.021017027720733
HU,Solar,2022-01-21T00:00:00Z,203.26389108143078,211.24583333333334,0.9622149127111657
HU,Solar,2022-01-22T00:00:00Z,199.85136721930218,193.95166666666668,1.0304184060597683
HU,Solar,2022-01-23T00:00:00Z,192.54869054086342,202.93708333333333,0.9488097856644243
