country,date,price_uah,price_eur
UA,2022-01-01,2723.401893899241,88.07156881695721
UA,2022-01-02,2866.933423770768,92.71320729080892
UA,2022-01-03,2819.9583590422935,91.19408972862222
UA,2022-01-04,2977.4789063189473,96.2881163394717
UA,2022-01-05,2758.543793233384,89.63907055112885
UA,2022-01-06,3175.8572435233864,102.30806690022216
UA,2022-01-07,2857.8796852717182,92.06463754938352
UA,2022-01-08,3084.9369172571064,99.37913083383876
UA,2022-01-09,3022.255806716623,97.35990176942354
UA,2022-01-10,3189.863278020376,102.53662958325837
UA,2022-01-11,2856.3554463993582,91.79699982000767
UA,2022-01-12,3010.5039984071013,96.57656496516452
UA,2022-01-13,3286.301622445845,104.39464359286157
UA,2022-01-14,3085.8012762887442,97.09487265432011
UA,2022-01-15,2498.33275785841,78.6101499264791
UA,2022-01-16,2680.6643376391135,84.34722109036171
UA,2022-01-17,3103.509253181282,97.01801410426339
UA,2022-01-18,2853.244670412977,89.00341167373134
UA,2022-01-19,2799.955207438566,86.57709527462589
UA,2022-01-20,2806.4654041576127,87.17274188777557
UA,2022-01-21,2985.725208511,92.97067101704205
UA,2022-01-22,2868.5229880513925,89.32118276214295
UA,2022-01-23,2710.6029902662253,84.40380854456762
UA,2022-01-24,2869.6475921868127,89.36955867775397
UA,2022-01-25,2567.2906596269845,80.07918612410042
UA,2022-01-26,3262.380187806576,100.99591629666727
UA,2022-01-27,2637.826471162158,81.21311906485342
UA,2022-01-28,2514.686912568617,77.75009623564202
UA,2022-01-29,2373.875544527988,73.39643401172387
UA,2022-01-30,2215.1081861171883,68.48760129230219
UA,2022-01-31,2456.292371271777,76.68891831141413
UA,2022-02-01,2796.886083916203,88.10088967304019
UA,2022-02-02,2553.677108344432,80.0839547893197
UA,2022-02-03,2368.1281676014128,73.67729249364265
UA,2022-02-04,2130.1853940358187,66.73554953464053
UA,2022-02-05,1758.825748646451,55.1014025353057
UA,2022-02-06,1702.4587092421518,53.3355067776788
UA,2022-02-07,1797.2451010888658,55.68622600160701
UA,2022-02-08,2202.2225864636507,68.66410329328802
UA,2022-02-09,1971.0547900038353,61.73919875973235
UA,2022-02-10,2339.0372849560886,73.10405316152297
UA,2022-02-11,1839.6440775351787,57.70798743777714
UA,2022-02-12,1978.8539075476635,62.07487515245898
UA,2022-02-13,2006.9918679367727,62.9575377742608
UA,2022-02-14,2076.2486234978337,64.92801619559363
UA,2022-02-15,2110.106390182885,65.27501949437256
UA,2022-02-16,2094.6613523286933,65.40032884444985
UA,2022-02-17,2097.0762129738464,65.67318717818634
UA,2022-02-18,2131.0875070288926,66.18921408672551
UA,2022-02-19,2018.3782232863532,62.68858875501533
UA,2022-02-20,2007.9408169183755,62.36441449078562
UA,2022-02-21,2125.1874312229083,66.00780939318264
UA,2022-02-22,2170.8503591735375,67.23251041923453
UA,2022-02-23,2455.012945091458,74.6116097207765
UA,2022-02-24,2381.7960404580836,71.8042139737203
UA,2022-02-25,2635.0723146981086,79.4397560105186
UA,2022-02-26,1557.4261698770897,46.95186323704624
UA,2022-02-27,990.2803843663048,29.854069536256542
UA,2022-02-28,2411.7517496169735,72.70729136306961
UA,2022-03-01,2303.488790480053,69.44347844573836
UA,2022-03-02,2331.9259087285245,70.30077474182109
UA,2022-03-03,2358.4598763380777,71.1006965887991
UA,2022-03-04,2379.95078183086,71.7485848001658
UA,2022-03-05,2356.7173158094074,71.04816346382222
UA,2022-03-06,2314.3641052582448,69.77133751347561
UA,2022-03-07,2340.4979475982527,70.55919674888541
UA,2022-03-08,2339.5638601760193,70.53103673350334
UA,2022-03-09,2318.7963503595997,69.90495679499075
UA,2022-03-10,2346.668013278929,70.745206259709
UA,2022-03-11,2333.9469651069203,70.36170370558717
UA,2022-03-12,2225.6416894155327,67.09661506737973
UA,2022-03-13,2309.5245462713387,69.6254389045555
UA,2022-03-14,2303.075241147892,69.43101113777799
UA,2022-03-15,2254.6278592110093,67.97046366856924
UA,2022-03-16,2285.3995751043162,68.89814128445636
UA,2022-03-17,2263.024349819005,68.22359340680194
UA,2022-03-18,2256.537946810523,68.02804724683298
UA,2022-03-19,2247.645722956327,67.75997259498074
UA,2022-03-20,2249.930620155039,67.82885559108006
UA,2022-03-21,2284.429947195811,68.86890982691988
UA,2022-03-22,2279.782663316583,68.72880775252204
UA,2022-03-23,2268.1709879613545,70.36470204164341
UA,2022-03-24,2273.392347655981,70.73845129304816
UA,2022-03-25,2273.5105644870355,70.7745021366745
UA,2022-03-26,2251.8265869730894,70.09947878870133
UA,2022-03-27,2305.3727083039166,71.7663723311091
UA,2022-03-28,2282.187794191667,70.88948717110439
UA,2022-03-29,2255.0337732884104,70.31445441753408
UA,2022-03-30,2274.1003883177264,70.14130623371773
UA,2022-03-31,2296.949705358005,70.48971648083831
UA,2022-04-01,2314.315332273223,71.25947453369656
UA,2022-04-02,2308.2147226101915,71.07163226654284
UA,2022-04-03,2318.1568318985655,71.37775713801841
UA,2022-04-04,2353.5937139730027,72.80334179778592
UA,2022-04-05,2376.939669565217,73.87306282835708
UA,2022-04-06,2370.1153926949924,73.88255405149681
UA,2022-04-07,2340.5764328506552,73.28936322377045
UA,2022-04-08,2355.275057889009,73.77664287783041
UA,2022-04-09,2369.125198626416,74.21048472724361
UA,2022-04-10,2322.183013436428,72.74006757954507
UA,2022-04-11,2313.3099498016354,72.79229284829374
UA,2022-04-12,2295.795225537771,71.97933311400371
UA,2022-04-13,2348.6607993978514,73.91490216891951
UA,2022-04-14,2290.137170147481,72.27280149672997
UA,2022-04-15,2343.3076999707005,73.69888695549085
UA,2022-04-16,2338.0401680965633,73.53321889741578
UA,2022-04-17,2277.7702420234477,71.63768188853989
UA,2022-04-18,2375.769652122696,74.65456823173743
UA,2022-04-19,2350.899019269805,74.34472067415327
UA,2022-04-20,2315.9331336413193,73.33729586694152
UA,2022-04-21,2343.355170572143,73.97258001660873
UA,2022-04-22,2293.502889205413,72.062906555734
UA,2022-04-23,2297.093475844475,72.17572442514627
UA,2022-04-24,2269.1074565611343,71.29639093837613
UA,2022-04-25,2324.705633462057,73.43486950509867
UA,2022-04-26,2272.636000893956,72.26739086270355
UA,2022-04-27,2271.942927213786,72.76667405071971
UA,2022-04-28,2308.7593073593075,74.55715753445865
UA,2022-04-29,2333.4080832631244,76.03922466143938
UA,2022-04-30,2272.634484940522,74.0587835506526
UA,2022-05-01,2189.6769919427516,71.3554315340667
UA,2022-05-02,2317.3238212187794,75.12120219979315
UA,2022-05-03,2345.54256,76.23838600528508
UA,2022-05-04,2335.2016825151477,75.74740770043427
UA,2022-05-05,2346.9663724372617,76.19773294494537
UA,2022-05-06,2323.190538013512,75.28283147858885
UA,2022-05-07,2208.521752480118,71.56699727734143
UA,2022-05-08,2153.267455218271,69.77648553016968
UA,2022-05-09,2196.4157513479727,71.06692652785911
UA,2022-05-10,2252.7108848108323,72.99539499079202
UA,2022-05-11,2220.01587330185,71.90870488495825
UA,2022-05-12,2214.2162819345203,71.76501625200609
UA,2022-05-13,2190.881265912306,72.0262894066075
UA,2022-05-14,2262.212913124164,74.37135207425139
UA,2022-05-15,2289.512508282063,75.26883957031946
